Node,Degree Centrality,Betweenness Centrality
DEPT: Fitness,0.7297297297297298,0.7972972972972973
REGION: Central Asia,0.16216216216216217,0.2552552552552553
SHIP: Same Day,0.2972972972972973,0.20045045045045046
DEPT: Book Shop,0.2972972972972973,0.17342342342342343
DEPT: Health and Beauty ,0.21621621621621623,0.11186186186186187
REGION: Eastern Asia,0.2972972972972973,0.08258258258258258
REGION: South Asia,0.2972972972972973,0.06006006006006006
REGION: Southern Europe,0.24324324324324326,0.04204204204204204
DEPT: Discs Shop,0.2972972972972973,0.0022522522522522522
DEPT: Golf,0.7297297297297298,0.0
REGION: Canada,0.16216216216216217,0.0
DEPT: Footwear,0.7297297297297298,0.0
DEPT: Fan Shop,0.7297297297297298,0.0
DEPT: Apparel,0.7297297297297298,0.0
REGION: East of USA,0.16216216216216217,0.0
REGION: East Africa,0.16216216216216217,0.0
REGION: Central Africa,0.16216216216216217,0.0
DEPT: Pet Shop,0.21621621621621623,0.0
DEPT: Technology,0.2972972972972973,0.0
REGION: Central America,0.16216216216216217,0.0
DEPT: Outdoors,0.7297297297297298,0.0
REGION: Caribbean,0.16216216216216217,0.0
REGION: Northern Europe,0.24324324324324326,0.0
REGION: North Africa,0.16216216216216217,0.0
REGION: Eastern Europe,0.16216216216216217,0.0
REGION: South America,0.16216216216216217,0.0
REGION: South of  USA ,0.16216216216216217,0.0
REGION: Southeast Asia,0.2972972972972973,0.0
REGION: Southern Africa,0.16216216216216217,0.0
REGION: Oceania,0.2972972972972973,0.0
REGION: US Center ,0.16216216216216217,0.0
REGION: West Africa,0.16216216216216217,0.0
REGION: West of USA ,0.16216216216216217,0.0
REGION: West Asia,0.16216216216216217,0.0
REGION: Western Europe,0.24324324324324326,0.0
SHIP: First Class,0.2972972972972973,0.0
SHIP: Second Class,0.2972972972972973,0.0
SHIP: Standard Class,0.2972972972972973,0.0
