Source,Target,order_count,avg_delay
Canada,Apparel,254,0.2440944881889764
Canada,Fan Shop,333,0.4954954954954955
Canada,Fitness,7,0.7142857142857143
Canada,Footwear,87,0.27586206896551724
Canada,Golf,171,0.3157894736842105
Canada,Outdoors,55,0.4727272727272727
Caribbean,Apparel,2151,0.4630404463040446
Caribbean,Fan Shop,3061,0.5138843515191114
Caribbean,Fitness,96,0.5520833333333334
Caribbean,Footwear,698,0.6031518624641834
Caribbean,Golf,1519,0.5345622119815668
Caribbean,Outdoors,426,0.49765258215962443
Central Africa,Apparel,431,0.6125290023201856
Central Africa,Fan Shop,616,0.5892857142857143
Central Africa,Fitness,22,0.045454545454545456
Central Africa,Footwear,130,0.5538461538461539
Central Africa,Golf,337,0.6735905044510386
Central Africa,Outdoors,80,0.8
Central America,Apparel,7352,0.5231229597388466
Central America,Fan Shop,10558,0.5369388141693503
Central America,Fitness,348,0.5258620689655172
Central America,Footwear,2243,0.5644226482389657
Central America,Golf,5221,0.5338057843325034
Central America,Outdoors,1452,0.522038567493113
Central Asia,Apparel,166,0.5421686746987951
Central Asia,Fan Shop,206,0.5679611650485437
Central Asia,Fitness,3,2.3333333333333335
Central Asia,Footwear,41,0.7560975609756098
Central Asia,Golf,99,0.6363636363636364
Central Asia,Outdoors,27,0.7777777777777778
East Africa,Apparel,504,0.6111111111111112
East Africa,Fan Shop,714,0.5280112044817927
East Africa,Fitness,13,0.9230769230769231
East Africa,Footwear,155,0.6
East Africa,Golf,310,0.5290322580645161
East Africa,Outdoors,85,0.6352941176470588
East of USA,Apparel,1729,0.6009253903990746
East of USA,Fan Shop,2593,0.5588121866563825
East of USA,Fitness,79,0.9113924050632911
East of USA,Footwear,552,0.40217391304347827
East of USA,Golf,1341,0.5279642058165548
East of USA,Outdoors,323,0.56656346749226
Eastern Asia,Apparel,1816,0.5583700440528634
Eastern Asia,Book Shop,19,0.2631578947368421
Eastern Asia,Discs Shop,380,0.4789473684210526
Eastern Asia,Fan Shop,2335,0.5224839400428265
Eastern Asia,Fitness,136,0.6691176470588235
Eastern Asia,Footwear,488,0.5614754098360656
Eastern Asia,Golf,1089,0.4995408631772268
Eastern Asia,Health and Beauty ,80,0.525
Eastern Asia,Outdoors,456,0.6096491228070176
Eastern Asia,Pet Shop,123,0.5365853658536586
Eastern Asia,Technology,51,0.47058823529411764
Eastern Europe,Apparel,1024,0.615234375
Eastern Europe,Fan Shop,1458,0.5733882030178327
Eastern Europe,Fitness,44,0.6818181818181818
Eastern Europe,Footwear,330,0.49393939393939396
Eastern Europe,Golf,728,0.5041208791208791
Eastern Europe,Outdoors,201,0.6268656716417911
North Africa,Apparel,871,0.563719862227325
North Africa,Fan Shop,1193,0.47359597652975693
North Africa,Fitness,43,0.9302325581395349
North Africa,Footwear,267,0.4344569288389513
North Africa,Golf,544,0.5036764705882353
North Africa,Outdoors,168,0.7440476190476191
Northern Europe,Apparel,2595,0.5387283236994219
Northern Europe,Book Shop,49,0.42857142857142855
Northern Europe,Discs Shop,86,0.47674418604651164
Northern Europe,Fan Shop,3418,0.5011702750146284
