Month,Sales,Type
2015-01-01,1008854.429428163,Actual
2015-02-01,881666.987208591,Actual
2015-03-01,1007758.049646223,Actual
2015-04-01,972303.149061963,Actual
2015-05-01,996912.90919987,Actual
2015-06-01,979359.098910663,Actual
2015-07-01,1004767.509542302,Actual
2015-08-01,983904.029716892,Actual
2015-09-01,975618.069090283,Actual
2015-10-01,1004243.80961592,Actual
2015-11-01,989101.179764504,Actual
2015-12-01,1013278.289756031,Actual
2016-01-01,1007805.749698572,Actual
2016-02-01,928372.128301082,Actual
2016-03-01,987920.350088333,Actual
2016-04-01,955802.828824023,Actual
2016-05-01,978444.729616903,Actual
2016-06-01,961379.299203401,Actual
2016-07-01,987607.17968593,Actual
2016-08-01,1016416.620556742,Actual
2016-09-01,966031.079261644,Actual
2016-10-01,1012548.369669542,Actual
2016-11-01,996544.749945191,Actual
2016-12-01,995578.869257822,Actual
2017-01-01,992418.979391412,Actual
2017-02-01,948041.8279562719,Actual
2017-03-01,1007894.360343651,Actual
2017-04-01,991533.199833581,Actual
2017-05-01,1047040.9507214699,Actual
2017-06-01,985768.28939788,Actual
2017-07-01,1047375.41990833,Actual
2017-08-01,1067684.88045054,Actual
2017-09-01,1088272.36677469,Actual
2017-10-01,1029832.36859652,Actual
2017-11-01,598789.15300712,Actual
2017-12-01,480845.66706090997,Actual
2018-01-01,316712.72498533,Actual
2017-10-01,1099843.505218865,Forecast
2017-11-01,1094260.7396479375,Forecast
2017-12-01,1118253.2550235335,Forecast
2018-01-01,1127330.4997036853,Forecast
2018-02-01,1042045.5677840397,Forecast
2018-03-01,1144827.315389757,Forecast
